australia;100000000;2019
argentina;100000000;2020
france;100000003;2016
greece;100000003;2019
australia;100000005;2020
serbia;100000006;2010
argentina;100000009;2010
united states;100000009;2020
puerto rico;100000010;2019
lithuania;100000012;2008
russia;100000012;2010
lithuania;100000012;2019
germany;,100000016;2008
spain;100000017;2010
brazil;100000017;2012
serbia;100000018;2014
italy;100000018;2020
france;100000019;2014
united states;100000021;2012
brazil;100000022;2016
australia;100000024;2016
germany;100000025;2020
australia;100000026;2008
argentina;100000029;2016
france;100000031;2012
united states;100000046;2008
slovenia;100000046;2014
serbia;100000049;2019
argentina;100000051;2019
australia;100000059;2014
slovenia;100000070;2020
argentina;100000077;2012
brazil;100000093;2010
germany;100000093;2019
germany;100000104;2010
lithuania;100000104;2014
brazil;100000112;2014
canada;100000113;2019
lithuania;100000116;2016
russia;100000121;2008
russia;100000126;2019
venezuela;100000129;2016
france;100000129;2019
united states;100000148;2016
lithuania;100000153;2010
brazil;100000153;2019
poland;100000153;2019
australia;100000155;2010
united states;100000156;2014
spain;100000170;2020
canada;100000173;2010
spain;100000174;2012
france;100000179;2020
serbia;100000194;2015
czech republic;100000194;2018
czech republic;100000241;2019
greece;100000272;2007
spain;100000272;2013
turkey;100000272;2013
spain;100000274;2018
spain;100000281;2007
argentina;100000287;2013
dominican republic;100000296;2013
turkey;100000308;2009
puerto rico;100000313;2013
spain;100000313;2015
turkey;100000313;2018
france;100000365;2009
dominican republic
italy;100000365;2018
puerto rico;100000374;2009
venezuela;100000385;2018
slovenia;100000439;2009
lithuania;100000439;2011
australia;100000455;2011
greece;100000461;2009
argentina;100000474;2007
greece;100000474;2013
united states;100000513;2018
russia;100000520;2011
united states;100000523;2009